,DOMICILIO_ACESSO_INTERNET,TEM_RADIO,TEM_DVD,NUMERO_TV_PLASMA,NUMERO_TV_TUBO,TEM_ASSINATURA_TV
0,Nao,Nao,Nao,1.0,0.0,Nao
1,Sim,Sim,Sim,1.0,0.0,Nao
2,Nao,Nao,Nao,1.0,1.0,Sim
3,Sim,Nao,Sim,5.0,0.0,Sim
4,Sim,Nao,Nao,0.0,1.0,Nao
5,Nao,Nao,Nao,1.0,0.0,Nao
6,Sim,Nao,Nao,2.0,1.0,Sim
7,Sim,Nao,Nao,0.0,2.0,Sim
9,Sim,Nao,Sim,2.0,0.0,Nao
10,Sim,Nao,Nao,2.0,1.0,Sim
11,Sim,Sim,Sim,1.0,0.0,Nao
12,Sim,Nao,Sim,0.0,2.0,Nao
13,Sim,Nao,Nao,0.0,2.0,Nao
14,Nao,Nao,Sim,0.0,1.0,Nao
16,Sim,Sim,Sim,1.0,1.0,Nao
17,Sim,Sim,Nao,0.0,1.0,Nao
18,Sim,Nao,Nao,1.0,0.0,Sim
19,Nao,Nao,Nao,0.0,1.0,Nao
20,Sim,Nao,Nao,1.0,1.0,Nao
21,Nao,Sim,Nao,0.0,3.0,Nao
22,Sim,Nao,Sim,2.0,0.0,Nao
23,Sim,Sim,Sim,0.0,1.0,Nao
24,Sim,Sim,Nao,0.0,1.0,Nao
25,Sim,Nao,Sim,1.0,0.0,Nao
26,Sim,Nao,Nao,2.0,0.0,Sim
27,Nao,Nao,Sim,0.0,1.0,Sim
28,Sim,Nao,Nao,0.0,1.0,Nao
29,Sim,Nao,Sim,1.0,0.0,Nao
30,Nao,Nao,Sim,0.0,2.0,Nao
31,Nao,Sim,Sim,1.0,0.0,Nao
32,Sim,Nao,Sim,1.0,0.0,Nao
33,Nao,Nao,Sim,0.0,1.0,Nao
34,Nao,Nao,Nao,0.0,1.0,Nao
36,Nao,Sim,Sim,0.0,1.0,Nao
37,Sim,Nao,Sim,0.0,1.0,Nao
38,Sim,Nao,Sim,0.0,1.0,Nao
39,Sim,Nao,Nao,0.0,1.0,Nao
